pageid,title,description,description_clean
20240,"""Fushigi"" Toriatsukaimasu: Tsukumodou Kottouten","{{Series
|genre=Fantasy, Mystery
|tag=Paranormal
|media=Light Novel
|image=File:Fushigi_Toriatsukaimasu_Tsukumodou_Kottouten.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''""Fushigi"" Toriatsukaimasu: Tsukumodou Kottouten''' (“不思議”取り扱います 付喪堂骨董店, lit. ""Tsukumodo Antique Shop - We Handle ""Mysteriosities"""") is a [[light novel]] series by Akihiko Odou with illustrations by Satoshi Takeshima. 

==Plot==
In our world there are objects that go by the name of ""Relics"". Not antiques or item","""Fushigi"" Toriatsukaimasu: Tsukumodou Kottouten (“不思議”取り扱います 付喪堂骨董店, lit. ""Tsukumodo Antique Shop - We Handle ""Mysteriosities"""") is a series by Akihiko Odou with illustrations by Satoshi Takeshima. In our world there are objects that go by the name of ""Relics"". Not antiques or item"
27951,"""Ippon"" again!","{{Stub}}
{{Series
|image=File:Mou Ippon.jpg
|genre=Slice of Life, Sports
|demographic=Shōnen
|tag=Combat Sports, Martial Arts
|media=Anime, Manga
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
{{translation|'''""Ippon"" again!'''|もういっぽん！}} is a Japanese [[manga]] series by Yu Muraoka. An [[anime]] adaptation was announced with the 13th volume of the manga on July 8, 2021, and the anime series adaptation by Bakken Record premiered on January 8th, 2023.

==Plot==
After performing in their f","is a Japanese series by Yu Muraoka. An adaptation was announced with the 13th volume of the manga on July 8, 2021, and the anime series adaptation by Bakken Record premiered on January 8th, 2023. After performing in their f"
11597,"""Satsui"" Doctor Ranmaru","{{Series
|demographic=Seinen
|genre=Action, Psychological, Slice of Life
|tag=Medical
|media=Manga
|image=File:Doctor Ranmaru.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''""Satsui"" Doctor Ranmaru''' (“殺医”ドクター蘭丸) is a [[manga]] series written by Kengo Kaji and illustrated by Noriyoshi Inoue. 

==Plot==
Dr. Ranmaru might seem a little too lighthearted and lecherous for a doctor, but he becomes dead serious when it comes to the health of his patients. No one knows, though, that he","""Satsui"" Doctor Ranmaru (“殺医”ドクター蘭丸) is a series written by Kengo Kaji and illustrated by Noriyoshi Inoue. Dr. Ranmaru might seem a little too lighthearted and lecherous for a doctor, but he becomes dead serious when it comes to the health of his patients. No one knows, though, that he"
20586,(Kuro) no Tenshi,"{{Series
|demographic=Shōnen
|genre=Comedy, Fantasy
|media=Manga
|image=File:Kuro_no_Tenshi.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''(Kuro) no Tenshi''' (（くろ）の天使) is a [[manga]] series by Shoichi Hayashibara. It was serialized in Shounen Sunday Super.

==Plot==
Kujou Asagi was ""forcefully"" moved to Tokyo in order to become manga artist.

==External Links==
===Official===

===Other Sources===
[https://myanimelist.net/manga/66721/Kuro_no_Tenshi MyAnimeList]
===Other Wikis===","(Kuro) no Tenshi (（くろ）の天使) is a series by Shoichi Hayashibara. It was serialized in Shounen Sunday Super. Kujou Asagi was ""forcefully"" moved to Tokyo in order to become manga artist. = = ="
9487,+Again,"{{Series
|demographic=Shōnen
|genre=Action, Comedy, Supernatural
|tag=Martial Arts
|media=Manhwa
|image=File:+Again.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''+Again''' is a Korean [[manhwa]] written and illustrated by GO Jin-Ho.

==Plot==
Many generations ago, Sonogong, a 342 year old being, was the lone survivor of an attack on the village he vowed to protect. The leader of that attack only wanted Sonogong's great power for himself, but Sonogong would not bow before anyone.","+Again is a Korean written and illustrated by GO Jin-Ho. Many generations ago, Sonogong, a 342 year old being, was the lone survivor of an attack on the village he vowed to protect. The leader of that attack only wanted Sonogong's great power for himself, but Sonogong would not bow before anyone."
4535,+Anima,"{{Series
|genre=Adventure, Fantasy
|media=Manga
|wiki=plusanima
|wiki name=+Anima Wiki
|image=File:+Anima.png
|foundingdate=2009/05/01
|pagecount=231
|datechecked=2022/09/15
|animangafooter=Yes
|animanganavlink=Yes
|adoptable=No
}}
{{Stub}}

{{translation|'''+Anima'''|プラス アニマ|Purasu Anima}} is an internationally-published ten-volume [[manga]] series by Natsumi Mukai published by [[MediaWorks]]' [[shōnen]] magazine ''Dengeki Comic Gao!'' from January 2001 to March 2005. 

==Plot==
The plot revolv",is an internationally-published ten-volume series by Natsumi Mukai published by ' magazine Dengeki Comic Gao! from January 2001 to March 2005. The plot revolv
25850,+Tic Elder Sister,"{{Series
|image = File:Tic_Nee-san.jpg
|demographic = Seinen
|genre=Comedy
|media=Manga, ONA
}}{{Translation|'''+Tic Elder Sister (Plastic Nee-san)'''|＋プラスチック姉さん|Purasu Chikku Neesan}} is a Japanese [[manga]] series drawn by Cha Kurii and published in Young Gangan since September 2009. A 12-episode anime series was produced by Barnum Studio and TYO Animations and released in 2011 and 2012. The first five episodes were originally released online, then later on DVD and Blu-ray Disc along with the","is a Japanese series drawn by Cha Kurii and published in Young Gangan since September 2009. A 12-episode anime series was produced by Barnum Studio and TYO Animations and released in 2011 and 2012. The first five episodes were originally released online, then later on DVD and Blu-ray Disc along with"
25061,+Ultra,"{{Stub}}
[[File:Ultra_logo.jpeg|thumb|300px]]
{{Translation|'''+Ultra'''|プラスウルトラ|}} is a [[Fuji TV]] programming block dedicated to anime and broadcast every Wednesday late night/Thursday morning from 00:55 to 1:25.

==Anime aired==
{| class=""wikitable"" style=""font-size: 95%; width:75%; text-align:center;""
|-
!#
!Title
!Time Slot
!Start date
!End date
|-
|1
|[[Ingress]]: The Animation
|October 18, 2018
|December 27, 2018
|Craftar
|-
|2
|[[Revisions]]
|January 10, 2019
|March 28, 2019
|Shirogumi",is a programming block dedicated to anime and broadcast every Wednesday late night/Thursday morning from 00:55 to 1:25. {
20229,+α no Tachiichi,"{{Series
|genre=Adventure, Comedy, Fantasy
|tag=Magic
|media=Manga
|image=File:+Α_no_Tachiichi.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''+α no Tachiichi''' (+αの立ち位置) is a [[manga]] series by Yuu Geni. It was serialized in Zero-Sum Online.

==Plot==
A female protagonist should be pure of heart, good-natured, and, most importantly, beautiful. Satoki Houma has accepted that she will never be that person.

In a bizarre twist, Satoki and her classmate, Haruka Toudou, are dragged","+α no Tachiichi (+αの立ち位置) is a series by Yuu Geni. It was serialized in Zero-Sum Online. A female protagonist should be pure of heart, good-natured, and, most importantly, beautiful. Satoki Houma has accepted that she will never be that person. In a bizarre twist, Satoki and her classmate, Haruka To"
17077,-HOME-,"{{Series
|genre=Slice of Life
|media=Manga
|image=File:-HOME-.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''-HOME-''' (ホーム) is a [[manga]] series by Machiko Sugihara. It was serialized in Ichiraci. 

==Plot==
{{stub}}

==External Links==
===Official===

===Other Sources===
[https://myanimelist.net/manga/20810/-Home- MyAnimeList]
===Other Wikis===

==References==
<references/>

__NOTOC__",-HOME- (ホーム) is a series by Machiko Sugihara. It was serialized in Ichiraci. = = = __NOTOC__
9406,-Hitogatana-,"{{Series
|demographic=Shōnen
|genre=Action, Drama, Psychological, Science Fiction,
|tag=Crime, Androids
|media=Manga
|wiki=hitogatana
|wiki name=Hitogatana Wiki
|image=File:-Hitogatana-.jpg
|foundingdate=April 19, 2011
|pagecount=41
|datechecked=May 15, 2022
|animangafooter=No
|animanganavlink=No
|adoptable=Yes
}}
'''Afterschool War Activities''' or '''-Hitogatana-''' is a [[manga]] written and illustrated by Onigunsou. 

==Plot==
Crimes committed using manned combat-androids dubbed ""Katana"" run","Afterschool War Activities or -Hitogatana- is a written and illustrated by Onigunsou. Crimes committed using manned combat-androids dubbed ""Katana"" run"
17081,-SINS-,"{{Series
|media=Manga
|image=File:-SINS-.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''-SINS-''' (-SINS-シンズ) is a one-shot [[manga]] series by Masataka Miura. It was serialized in Shonen Jump Weekly. 

==Plot==
Sara Tanjuro just recently transferred to Mikagami Eruma’s elementary school and have caused a major stir among the students. Tanjuro, knicknamed Satan, has been proposing his love to the girls left and right, something the shy Eruma would never think of doing. But Satan","-SINS- (-SINS-シンズ) is a one-shot series by Masataka Miura. It was serialized in Shonen Jump Weekly. Sara Tanjuro just recently transferred to Mikagami Eruma’s elementary school and have caused a major stir among the students. Tanjuro, knicknamed Satan, has been proposing his love to the girls left a"
17079,-rain-,"{{Series
|genre=Romance, Supernatural, Yuri
|media=Manga, One Shot
|image=File:-rain-.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''-rain-''' is a one-shot [[manga]] series by Hashiba Hayase. 

==Plot==
""Because I love you.""

On a rainy day, when Mai got stood up by the guy she likes she met a beautiful girl who told her that she was the Rain and that she had come because of her tears. After that Mai's days were filled with the bitterness of betrayal, only the memory of the girl","-rain- is a one-shot series by Hashiba Hayase. ""Because I love you."" On a rainy day, when Mai got stood up by the guy she likes she met a beautiful girl who told her that she was the Rain and that she had come because of her tears. After that Mai's days were filled with the bitterness of betrayal, o"
15457,"...But, I'm Your Teacher","{{Series
|genre=Romance
|media=Manga
|image=File:...But_I'm_Your_Teacher.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''...But, I'm Your Teacher''' (生徒の主張 教師の本分, ''Seito no Shucho Kyoshi no Honbun'') is a yaoi manga series written and illustrated by Row Takakura. Seven individual chapters were published as a single tankōbon volume in July 2001 by Biblos, then reprinted in March 2007 by Enterbrain which had assumed the license.

==Plot==


==External Links==
===Official===

===Oth","...But, I'm Your Teacher (生徒の主張 教師の本分, Seito no Shucho Kyoshi no Honbun) is a yaoi manga series written and illustrated by Row Takakura. Seven individual chapters were published as a single tankōbon volume in July 2001 by Biblos, then reprinted in March 2007 by Enterbrain which had assumed the licen"
2557,.hack,"{{Series
|genre=Adventure, Comedy, Fantasy, Mystery, Science Fiction
|tag = Virtual Reality, MMORPG
|media=Anime, Manga, Light Novel, OVA, Game
|wiki=dothack
|wiki name=.hack//Wiki
|image=File:Dot Hack.png
|foundingdate=February 22, 2006
|pagecount=2,255
|datechecked=May 15, 2022
|animangafooter=Yes
|animanganavlink=Yes
|adoptable=No
}}
'''.hack''' (pronounced ""dot-hack"") is a Japanese multimedia franchise that encompasses two projects; '''Project .hack''' and '''.hack Conglomerate'''. Both proj",".hack (pronounced ""dot-hack"") is a Japanese multimedia franchise that encompasses two projects; Project .hack and .hack Conglomerate. Both proj"
8977,000000 - Ultra Black,"{{Series
|demographic=Josei
|genre=Action, Comedy, Mystery, Supernatural
|media=Manga
|image=File:000000 - Ultra Black.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''000000 - Ultra Black''' is a [[manga]] written and illustrated by Kisaragi Yoshinori. It was serialized in Comic ZERO-SUM from October 27, 2007 to July 28, 2011.

==Plot==
Raised in a home nearly all his life, Sanetora has been provided for anonymously for as long as he could remember. When his mysterious benefactor","000000 - Ultra Black is a written and illustrated by Kisaragi Yoshinori. It was serialized in Comic ZERO-SUM from October 27, 2007 to July 28, 2011. Raised in a home nearly all his life, Sanetora has been provided for anonymously for as long as he could remember. When his mysterious benefactor"
2868,009-1,"{{Series
|genre=Action, Science Fiction
|tag=Androids, Alternate History, Espionage
|media=Anime, Manga, Live Action
|wiki=zerozeronineone
|wiki name=009-1 Wiki
|image=File:009-1.png
|foundingdate=March 31, 2011
|pagecount=60
|datechecked=May 15th, 2022
|animangafooter=Yes
|animanganavlink=No
|adoptable=Yes
}}
{{translation|'''009-1'''|ゼロゼロナイン・ワン|Zero Zero Nine-One}} is a spy-fi [[anime]] series based on a [[manga]] series by famous manga artist Shotaro Ishinomori. It was first broadcast on TBS",is a spy-fi series based on a series by famous manga artist Shotaro Ishinomori. It was first broadcast on TBS
2560,07-Ghost,"{{Series
|genre=Action, Fantasy, Supernatural
|media=Anime, Manga, Audio Drama
|wiki=07ghost
|wiki name=07 Ghost Wiki
|image=File:07-Ghost.png
|foundingdate=May 14, 2009
|pagecount=529
|datechecked=May 15th, 2022
|animangafooter=Yes
|animanganavlink=No
|adoptable=Yes
}}
{{translation|'''07-Ghost'''|セブンゴースト|Sebun Gōsuto}} is a [[manga]] series written and illustrated by Yuki Amemiya and Yukino Ichihara. It was serialized in Monthly Comic Zero Sum, a [[josei]] manga magazine published monthly by I","is a series written and illustrated by Yuki Amemiya and Yukino Ichihara. It was serialized in Monthly Comic Zero Sum, a manga magazine published monthly by I"
25535,1+2=Paradise,"{{Series
|image = File:1_2=Paradise.jpg
|demographic = Shōnen, Seinen
|genre=Hentai, Comedy, Romance,
|tag=Ecchi, Harem, 
|media=Manga, OVA
}}
{{Translation|'''1+2＝Paradise'''|1+2=パラダイス|Ichi tasu Ni wa Paradaisu}} is a Japanese manga series by Sumiko Kamimura and published by [[Kodansha]]'s Monthly Shōnen Magazine. A 2-episode [[OVA]] by Toei Video was released in 1990.

The manga compiled up to 5 volumes due to Kodansha discontinuing the series as it was branded as one of the ""Harmful manga"" fo","is a Japanese manga series by Sumiko Kamimura and published by 's Monthly Shōnen Magazine. A 2-episode by Toei Video was released in 1990. The manga compiled up to 5 volumes due to Kodansha discontinuing the series as it was branded as one of the ""Harmful manga"" fo"
2561,1/2 Prince,"{{Series
| image           = File:½ Prince.png
| wiki            = halfprince
| wiki name       = 1/2 Prince Wiki
| foundingdate    = May 8, 2009
| pagecount       = 194
| datechecked     = May 15, 2022
| fanon           = 
| fanon name      = 
| adoptable       = No
| demographic     = 
| genre           = Adventure, Fantasy
| tag             = Futuristic, Virtual Reality, Female Protagonist
| media           = Light Novel, Manhua, Guide Book
| spin off        = 
| animangafooter  = Yes
| anima",{{Series
25744,100% Pascal-sensei,"{{series
|image = File:100_Pascal_Sensei.jpg
|demographic = Kodomo
|genre = Comedy
|tag=School
|media=Manga, Anime
}}
{{Translation|'''100% Pascal-sensei'''|100％パスカル先生|100% Pasukaru-sensei|lit. ""100% Pascal Teacher""}} is a Japanese gag comedy manga series written and illustrated by Yūji Nagai. it was serialized in [[Shogakukan]]'s [[CoroCoro Comic]] magazine from January 15, 2015 to October 15, 2018, and has been compiled into seven tankōbon volumes on September 28, 2017. An anime television ser","is a Japanese gag comedy manga series written and illustrated by Yūji Nagai. it was serialized in 's magazine from January 15, 2015 to October 15, 2018, and has been compiled into seven tankōbon volumes on September 28, 2017. An anime television ser"
17135,1001,"{{Series
|genre=Adventure, Fantasy, Mystery
|media=Manga
|wiki=1001-knights
|wiki name=1001 Knights Wiki
|image=File:1001.jpg
|foundingdate=January 1, 1970
|pagecount=24
|datechecked=May 15th, 2022
|animangafooter=Yes
|animanganavlink=No
|adoptable=Yes
}}
'''1001''' (1001 ナイツ; lit. ""Knights, One Thousand and One Nights"") is a [[manga]] series by Yukiru Sugisaki. It is serialized in Asuka.

==Plot==
A tale of mystery and magic. Naito and Yuta Fuuga are twin brothers with very different personalit","1001 (1001 ナイツ; lit. ""Knights, One Thousand and One Nights"") is a series by Yukiru Sugisaki. It is serialized in Asuka. A tale of mystery and magic. Naito and Yuta Fuuga are twin brothers with very different personalit"
19354,10 Tokyo Warriors,"{{Series
|genre=Action, Adventure, Fantasy, Historical, Supernatural
|media=Light Novel, OVA
|image=File:10 Tokyo Warriors.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''10 Tokyo Warriors''' (倒凶十将伝, ''Tokyo Jushoden'') is a Japanese [[light novel]] series written by Takeshi Shouji and illustrated by Satoru Yuiga. The novel was published to 13 volumes by Sonorama Bunko, gaining a 6-episode [[OVA]] adaptation from 1999–2000 (episodes 1–3) to 2001–2002 (episodes 4–6) by Zexcs. The s","10 Tokyo Warriors (倒凶十将伝, Tokyo Jushoden) is a Japanese series written by Takeshi Shouji and illustrated by Satoru Yuiga. The novel was published to 13 volumes by Sonorama Bunko, gaining a 6-episode adaptation from 1999–2000 (episodes 1–3) to 2001–2002 (episodes 4–6) by Zexcs. The s"
2910,11eyes,"{{Series
|genre=Action, Fantasy, Romance
|media=Anime, Manga, Visual Novel, Game
|wiki=11eyes
|wiki name=11eyes Wiki
|image=File:11eyes.png
|foundingdate=December 13, 2009
|pagecount=175
|datechecked=May 15th, 2022
|animangafooter=Yes
|animanganavlink=No
|adoptable=Yes
}}
{{translation|'''11eyes: Tsumi to Batsu to Aganai no Shōjo'''|11eyes -罪と罰と贖いの少女-|lit meaning=11eyes: Sin, Damnation, and the Atonement Girl}} is an [[Eroge|adult]] [[visual novel]] developed and published by Lass first released",is an developed and published by Lass first released
17376,12,"{{Series
|genre=Drama
|media=Manga
|image=File:12.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''12''' is a [[manga]] collection of short stories. It was written and illustrated by Satomi Yamagata and serialized in Feel Young. 

==Plot==
This volume collects six short stories by Yamagata Satomi about girls between the ages of seven and sixteen and how these girls deal with the challenges of growing up, such as parental abandonment, the misunderstandings of teachers and other stud","12 is a collection of short stories. It was written and illustrated by Satomi Yamagata and serialized in Feel Young. This volume collects six short stories by Yamagata Satomi about girls between the ages of seven and sixteen and how these girls deal with the challenges of growing up, such as parenta"
19008,12 Beast,"{{Series
|genre=Comedy, Fantasy
|media=Manga
|wiki=12-beast
|wiki name=12 Beast Wiki
|image=File: 12 Beast.jpg
|foundingdate=June 24, 2013
|pagecount=37
|datechecked=May 15th, 2022
|animangafooter=No
|animanganavlink=No
|adoptable=Yes
}}
'''12 Beast''' (12Beast, トゥエルヴビースト) is a [[manga]] by OKAYADO. It began its serialization in the manga magazine Dragon Age in May 2013. Seven Seas has licensed it for English release.

==Plot==
Eita Touga, a seemingly normal high school student, is secretly the","12 Beast (12Beast, トゥエルヴビースト) is a by OKAYADO. It began its serialization in the manga magazine Dragon Age in May 2013. Seven Seas has licensed it for English release. Eita Touga, a seemingly normal high school student, is secretly the"
20636,16:00 no Shoukan Mahou,"{{Series
|genre=Comedy, Fantasy, Romance
|tag=Magic
|media=Light Novel
|image=File:16_00_no_Shoukan_Mahou.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''16:00 no Shoukan Mahou''' (16:00の召喚魔法, lit. ""Summon Magic at 16:00"") is a [[light novel]] series by Nachi Kio with illustrations by refeia. 

==Plot==
{{Stub}}

==External Links==
===Official===

===Other Sources===
*[https://myanimelist.net/manga/55827/16_00_no_Shoukan_Mahou?q=16%3A00 MyAnimeList]
===Other Wikis===

==References","16:00 no Shoukan Mahou (16:00の召喚魔法, lit. ""Summon Magic at 16:00"") is a series by Nachi Kio with illustrations by refeia. = = * = ==References"
23562,16 Life,"{{Series
|demographic=Shōjo
|genre=Drama, Romance, Slice of Life
|media=Manga
|wiki=
|wiki name=16 Life
|image=File:16 Life.jpg
|foundingdate=August 10, 2019
|animangafooter=Yes
|animanganavlink=Yes
|adoptable=No
}}

'''16 Life''' (also known as シックスティーンライフ or Sixteen Life) is a two-volume [[manga]] series by Aikawa Saki. It was published from December 5, 2009 to May 20, 2010 and was serialized by Sho-Comi.

==Plot==
Saya is an ordinary lethargic female high school student. At karaoke while she","16 Life (also known as シックスティーンライフ or Sixteen Life) is a two-volume series by Aikawa Saki. It was published from December 5, 2009 to May 20, 2010 and was serialized by Sho-Comi. Saya is an ordinary lethargic female high school student. At karaoke while she"
15406,18if,"{{Stub}}
{{Series
|image=File:18if.jpg
|genre=Fantasy, Supernatural
|tag=Mystery
|media=Anime, Game
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''18if''' is an [[anime]] series produced by [[Gonzo]] premiered on July 7, 2017 and ran for 13 episodes to September 29, 2017.

It is part of the media franchise ''The Art of 18'', which also includes a smartphone [[game]] by Mobcast titled {{translation|''18: Kimi to Tsunagaru Puzzle''|【18】キミト ツナガル パズル|18: Kimi to Tsunagaru Pazuru}}.

==Pl","18if is an series produced by premiered on July 7, 2017 and ran for 13 episodes to September 29, 2017. It is part of the media franchise The Art of 18, which also includes a smartphone by Mobcast titled . ==Pl"
16654,1 Love 9,"{{Series
|genre=Comedy, Romance
|tag=Ecchi, Harem
|media=Manga
|image=File:1_Love_9.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''1 Love 9''' (1♡9 （イチ・らぶ・キュウ）) is a manga series by Ema Tooyama. It was serialized in Dengeki Maoh.

==Plot==
Takuma Miyabe is a boy from an island who moved to Tokyo because his island doesn't have a high school there. However, the ratio of male to female is 1:9. There are too many female students in his class, and as a result, they flirt with the sti","1 Love 9 (1♡9 （イチ・らぶ・キュウ）) is a manga series by Ema Tooyama. It was serialized in Dengeki Maoh. Takuma Miyabe is a boy from an island who moved to Tokyo because his island doesn't have a high school there. However, the ratio of male to female is 1:9. There are too many female students in his class, "
26385,2.43: Seiin High School Boys Volleyball Team,"{{Series
|image=File:2.43 Seiin High School Boys Volleyball Team.jpg
|wiki = 2-43-seiin-koukou-danshi-volley-bu
|wiki name=2.43: Seiin Koukou Danshi Volley-bu
|foundingdate=30-Nov-2019
|pagecount=50
|datechecked=May 15, 2022
|genre=Sports
|demographic=Josei
|tag=Volleyball
|media=Anime, Manga, Light Novel
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
{{Translation|'''2.43: Seiin High School Boys Volleyball Team'''|2.43 清陰高校男子バレー部|Nī Ten Yonsan Seiin Kōkō Danshi Barē-bu}} is a Japanese",is a Japanese
6306,2001 Nights,"{{Series
|genre=Drama, Science Fiction
|demographic=Seinen
|tag=Shorts
|media=Manga
|image=File:2001 Nights.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''2001 Nights''' (2001夜物語, ''Nisen'ichi Ya Monogatari'') is a science fiction [[manga]] series written and illustrated by Yukinobu Hoshino. It was originally serialized in Futabasha's Monthly Super Action starting from June 1984 and collected into three bound volumes by Futabasha, released between August 18, 1985 and October 24,","2001 Nights (2001夜物語, Nisen'ichi Ya Monogatari) is a science fiction series written and illustrated by Yukinobu Hoshino. It was originally serialized in Futabasha's Monthly Super Action starting from June 1984 and collected into three bound volumes by Futabasha, released between August 18, 1985 and "
21897,20 Seiki Denki Mokuroku,"{{Series
|genre=Historical, Romance
|media=Anime, Novel
|wiki=20th-denmoku
|wiki name=20th Denmoku Wiki
|image=File:20 Seiki Denki Mokuroku.jpg
|foundingdate=2019/03/27
|pagecount=14
|datechecked=2022/05/15
|animangafooter=Yes
|animanganavlink=No
|adoptable=No
}}
{{Translation|'''20th Century Electricity Catalog'''|二十世紀電氣目録|20 Seiki Denki Mokuroku}} is a Japanese novel written by Hiro Yuki and illustrated by Kazumi Ikeda. The novel won an honorable mention in the full-length novel category at th",is a Japanese novel written by Hiro Yuki and illustrated by Kazumi Ikeda. The novel won an honorable mention in the full-length novel category at th
2562,20th Century Boys,"{{Series
|genre=Mystery, Science Fiction
|media=Manga, Film, Live Action
|wiki=20thcenturyboys
|wiki name=20th Century Boys Wiki
|image=File:20th Century Boys.png
|foundingdate=May 22, 2009
|pagecount=37
|datechecked=May 15, 2022
|animangafooter=Yes
|animanganavlink=Yes
|adoptable=Yes
}}
{{translation|'''20th Century Boys'''|20世紀少年|Nijusseiki Shōnen}} is a [[manga]] written and illustrated by [[Naoki Urasawa]]. It won the 2001 [[Kodansha Manga Award]] in the General category, an Excellence Prize","is a written and illustrated by . It won the 2001 in the General category, an Excellence Prize"
23180,20th Century Madman Hitler,"{{Series
|genre=Drama, Slice of Life
|demographic=Seinen
|tag=Gekiga
|media=Manga
|image=File:20th Century Madman Hitler.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''20th Century Madman Hitler''' is a manga written and illustrated by Shigeru Mizuki. It was originally published in Manga Sunday from May 8, 1971 to August 28, 1971.

==Plot==
Beginning with Hitler's time in Austria as a starving art student and ending with a Germany in ruins. Hitler retraces the path he took in lif","20th Century Madman Hitler is a manga written and illustrated by Shigeru Mizuki. It was originally published in Manga Sunday from May 8, 1971 to August 28, 1971. Beginning with Hitler's time in Austria as a starving art student and ending with a Germany in ruins. Hitler retraces the path he took in "
21703,21 Emon,"{{Series
|genre=Comedy, Science Fiction
|demographic=Kodomo
|tag=Space
|media=Anime, Manga
|wiki=fujiko-fujio
|wiki name=Fujiko Fujio Wiki
|image=File:21_Emon.jpg
|foundingdate=2022/04/14
|pagecount=34
|datechecked=2023/08/08
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
{{Translation|'''21 Emon'''|21エモン|Nijūichi emon}} is a Japanese manga by [[Fujiko F. Fujio]] published from 1968 to 1969 in the magazine [[Weekly Shōnen Sunday]] of [[Shogakukan]]. The manga was given an anime adaptati",is a Japanese manga by published from 1968 to 1969 in the magazine of . The manga was given an anime adaptati
19941,25-sai no Joshikousei,"{{Series
|genre=Drama, Romance, Hentai
|media=Anime, Manga
|image=File:25-sai no Joshikousei.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''25-sai no Joshikousei ''' (25歳の女子高生) is a Japanese  [[manga]] written and illustrated by Reon Maomi. A short-[[anime]] adaptation aired from April 2 to June 18, 2017, with the uncut version aired on [[AT-X]].

==Plot==
Hana Natori is an earnest, good-natured 25-year-old woman whose cousin refuses to go to high school. Hana decides to takes he","25-sai no Joshikousei (25歳の女子高生) is a Japanese written and illustrated by Reon Maomi. A short- adaptation aired from April 2 to June 18, 2017, with the uncut version aired on . Hana Natori is an earnest, good-natured 25-year-old woman whose cousin refuses to go to high school. Hana decides to takes "
9693,2DK,"{{Series
|genre=Comedy, Slice of Life
|media=Manga
|image=File:2DK.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''2DK''' is [[manga]] series by Kumiko Suekane. It was serialized in Jump X. 

==Plot==
In order to attend prep school in Tokyo, Atsushi it fails to college entrance examination to be freeloader in an apartment of his uncle, Makio. Living life with the uncle of beautiful limbs were trained in the very doubtful somehow atmosphere ...? 

==External Links==
===Official===","2DK is series by Kumiko Suekane. It was serialized in Jump X. In order to attend prep school in Tokyo, Atsushi it fails to college entrance examination to be freeloader in an apartment of his uncle, Makio. Living life with the uncle of beautiful limbs were trained in the very doubtful somehow atmosp"
27547,3000 Leagues in Search of Mother,"{{Series
|genre=Adventure, Drama, Historical, Slice of Life
|tag=Literature
|media=Anime, Manga, Visual Novel, Novel, Live Action, TV drama
|image=File:3000 Leagues in Search of Mother.jpg
|wiki=wmt
|wikiname=World Masterpiece Theatre Wiki
|foundingdate =
|pagecount = 107
|datechecked=May 15, 2022
|animangafooter=No
|animanganavlink=No
|adoptable=Yes
}}
'''3000 Leagues in Search of Mother''' (母をたずねて三千里, Haha o Tazunete Sanzenri) is a 1976 Japanese animated television series as part of [[Nippon A","3000 Leagues in Search of Mother (母をたずねて三千里, Haha o Tazunete Sanzenri) is a 1976 Japanese animated television series as part of [[Nippon A"
16704,360° Material,"{{Series
|genre=Romance
|media=Manga
|image=File:360°_Material.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''360° Material''' (360°マテリアル) is a [[manga]] series by Touko Minami. It was serialized in Bessatsu Margaret. 

==Plot==
Taki is the cool yet strange guy in Mio's class. She bumps into him at the subway station after school and saves him after he almost gets pushed onto the tracks. The next day, he returns the favor by saving her from an incoming car. This marks the start o","360° Material (360°マテリアル) is a series by Touko Minami. It was serialized in Bessatsu Margaret. Taki is the cool yet strange guy in Mio's class. She bumps into him at the subway station after school and saves him after he almost gets pushed onto the tracks. The next day, he returns the favor by savin"
